id	assembly_id	accession	organism	infraspecies	assembly_status	organization	taxid	biosample	coverage	replicon_count	chromosome_count	non_chromosome_replicon_count	contig_count	contig_l50_count	contig_n50_count	scaffold	scaffold_l50_count	scaffold_n50_count	total_length	ungapped_length	genbank_bioproject	wgs_project	submission_date	sequence_release_date	assembly_release_date	id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
283	431561	GCF_001188335.1	Yersinia pestis 1670 (enterobacteria)	1670	Contig	Los Alamos National Laboratory	1345700	SAMN03943538	85.6	2	0	2	7	1	2933251	5	1	2933251	4718815	4718815	PRJNA208247	AYLR01	2015-07-29 0:00	2015-07-29 0:00	2015-07-29 0:00	385		3943538	SAMN03943538		PRJNA208247	Yersinia pestis 1670	1670	"Los Alamos National Laboratory, BioScience"	1979	Georgia: Ninotsminda				Flea	Pestoides	Sample from Yersinia pestis 1670	2015-07-29	2015-07-29
180	611128	GCF_000320465.1	Yersinia pestis 2330 (enterobacteria)	2330	Contig	Beijing Genomics Institute	755862	SAMN02402994	75	0	0	0	798	116	11750	798	116	11750	4427639	4427639	PRJNA47685	ADOY01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	29		2402994	SAMN00115139	SAMN02402994	PRJNA47685	Yersinia pestis 2330	2330	Beijing Genomics Institute	2003	"Xinjiang, China"	44.95	81.08		Marmota baibacina	Antiqua	Generic sample from Yersinia pestis 2330	2013-11-15	2014-03-07
66	620938	GCF_000275685.1	Yersinia pestis 2501 (enterobacteria)	2501	Scaffold	BGI	1194970	SAMN02402990	120	0	0	0	201	33	48785	185	31	51011	4597322	4593919	PRJNA167473	AKVQ01	2012-07-09 0:00	2012-07-09 0:00	2012-07-09 0:00	245		2402990	SAMN02402990		PRJNA167473	Yersinia pestis 2501	2501	Beijing Genomics Institute	2005	"China: Junggar Basin, Xinjiang"				Rhombomys opimus		Generic sample from Yersinia pestis 2501	2013-11-15	2014-03-07
179	611148	GCF_000323205.1	Yersinia pestis 2504 (enterobacteria)	2504	Contig	Beijing Genomics Institute	755863	SAMN02402995	84	0	0	0	975	152	9235	975	152	9235	4475655	4475655	PRJNA47685	ADOZ01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	30		2402995	SAMN00115140	SAMN02402995	PRJNA47685	Yersinia pestis 2504	2504	Beijing Genomics Institute	2005	"Xinjiang, China"	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2504	2013-11-15	2014-03-07
178	611168	GCF_000323225.1	Yersinia pestis 2506 (enterobacteria)	2506	Contig	Beijing Genomics Institute	755864	SAMN02402996	73	0	0	0	820	113	11792	820	113	11792	4488493	4488493	PRJNA47685	ADPA01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	31		2402996	SAMN00115141	SAMN02402996	PRJNA47685	Yersinia pestis 2506	2506	Beijing Genomics Institute	2005	"Xinjiang, China"	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2506	2013-11-15	2014-03-07
177	611188	GCF_000323245.1	Yersinia pestis 2654 (enterobacteria)	2654	Contig	Beijing Genomics Institute	755865	SAMN02402997	32	0	0	0	2718	368	3203	2718	368	3203	4352602	4352602	PRJNA47685	ADPB01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	32		2402997	SAMN00115142	SAMN02402997	PRJNA47685	Yersinia pestis 2654	2654	Beijing Genomics Institute	2006	"Xinjiang, China"	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2654	2013-11-15	2014-03-07
275	431761	GCF_001188815.1	Yersinia pestis 2944 (enterobacteria)	2944	Complete Genome	Los Alamos National Laboratory	1345702	SAMN03941711	0	4	1	3	4	1	4491639	0	1	4491639	4672740	4672740	PRJNA208249		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	384		3941711	SAMN03941711		PRJNA208249	Yersinia pestis 2944	2944	"Los Alamos National Laboratory, BioScience"	1975	"Kabardino-Balkaria, Russia"				Gopher	Medievalis	Sample from Yersinia pestis 2944	2015-07-29	2015-07-29
276	431751	GCF_001188795.1	Yersinia pestis 3067 (enterobacteria)	3067	Complete Genome	Los Alamos National Laboratory	1345706	SAMN03943655	158.4	3	1	2	3	1	4526841	0	1	4526841	4736090	4736090	PRJNA208254		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	389		3943655	SAMN03943655		PRJNA208254	Yersinia pestis 3067	3067	"Los Alamos National Laboratory, BioScience"	1982	"Akhalkalaki, Georgia"				Flea	Pestoides	Sample from Yersinia pestis 3067	2015-07-29	2015-07-29
277	431741	GCF_001188775.1	Yersinia pestis 3770 (enterobacteria)	3770	Complete Genome	Los Alamos National Laboratory	1345707	SAMN03943654	84.9	3	1	2	3	1	4523206	0	1	4523206	4735667	4735667	PRJNA208257		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	388		3943654	SAMN03943654		PRJNA208257	Yersinia pestis 3770	3770	"Los Alamos National Laboratory, BioScience"	1983	"Ninotsminda, Georgia"				Flea	Pestoides	Sample from Yersinia pestis 3770	2015-07-29	2015-07-29
167	611388	GCF_000323465.1	Yersinia pestis 5761 (enterobacteria)	5761	Contig	Beijing Genomics Institute	755860	SAMN02403007	59	0	0	0	945	138	9651	945	138	9651	4262011	4262011	PRJNA47685	ADPL01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	26		2403007	SAMN00115136	SAMN02403007	PRJNA47685	Yersinia pestis 5761	5761	Beijing Genomics Institute	1956	"St.Petersberg, Russia"	NA	NA		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis 5761	2013-11-15	2014-03-07
162	611488	GCF_000323565.1	Yersinia pestis 7338 (enterobacteria)	7338	Contig	Beijing Genomics Institute	755886	SAMN02403012	75	0	0	0	1074	175	7554	1074	175	7554	4344510	4344510	PRJNA47685	ADPQ01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	52		2403012	SAMN00115162	SAMN02403012	PRJNA47685	Yersinia pestis 7338	7338	Beijing Genomics Institute	1973	"Xinjiang, China"	37.12	79.94		Marmota himalayana	Mediaevalis	Generic sample from Yersinia pestis 7338	2013-11-15	2014-03-07
278	431731	GCF_001188755.1	Yersinia pestis 8787 (enterobacteria)	8787	Complete Genome	Los Alamos National Laboratory	1345708	SAMN03943569	152	3	1	2	3	1	4467447	0	1	4467447	4675987	4675987	PRJNA208258		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	387		3943569	SAMN03943569		PRJNA208258	Yersinia pestis 8787	8787	"Los Alamos National Laboratory, BioScience"	1992	"Ninotsminda, Georgia"				Common vole	Pestoides	Sample from Yersinia pestis 8787	2015-07-29	2015-07-29
284	431501	GCF_001188325.1	Yersinia pestis 14735 (enterobacteria)	14735	Scaffold	Los Alamos National Laboratory	1345709	SAMN03943539	109.6	2	0	2	29	7	231933	23	7	231933	4693748	4693748	PRJNA208259	AYLS01	2015-07-29 0:00	2015-07-29 0:00	2015-07-29 0:00	386		3943539	SAMN03943539		PRJNA208259	Yersinia pestis 14735	14735	"Los Alamos National Laboratory, BioScience"	1975	Armenia				Common vole	Pestoides	Sample from Yersinia pestis 14735	2015-07-29	2015-07-29
176	611208	GCF_000323285.1	Yersinia pestis 30017 (enterobacteria)	30017	Contig	Beijing Genomics Institute	755867	SAMN02402998	97	0	0	0	747	114	12711	747	114	12711	4591472	4591472	PRJNA47685	ADPC01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	33		2402998	SAMN00115143	SAMN02402998	PRJNA47685	Yersinia pestis 30017	30017	Beijing Genomics Institute	1976	"Tibet, China"	31.47	92.1		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 30017	2013-11-15	2014-03-07
175	611228	GCF_000323305.1	Yersinia pestis 34008 (enterobacteria)	34008	Contig	Beijing Genomics Institute	755869	SAMN02402999	67	0	0	0	1074	142	9199	1074	142	9199	4375742	4375742	PRJNA47685	ADPD01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	35		2402999	SAMN00115145	SAMN02402999	PRJNA47685	Yersinia pestis 34008	34008	Beijing Genomics Institute	1968	"Tibet, China"	29.66	84.15		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 34008	2013-11-15	2014-03-07
174	611248	GCF_000323325.1	Yersinia pestis 34202 (enterobacteria)	34202	Contig	Beijing Genomics Institute	755870	SAMN02403000	62	0	0	0	1237	187	7418	1237	187	7418	4504947	4504947	PRJNA47685	ADPE01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	36		2403000	SAMN00115146	SAMN02403000	PRJNA47685	Yersinia pestis 34202	34202	Beijing Genomics Institute	1990	"Tibet, China"	30.37	81.18		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 34202	2013-11-15	2014-03-07
172	611288	GCF_000323365.1	Yersinia pestis 42013 (enterobacteria)	42013	Contig	Beijing Genomics Institute	755875	SAMN02403002	166	0	0	0	877	129	10543	877	129	10543	4495101	4495101	PRJNA47685	ADPG01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	41		2403002	SAMN00115151	SAMN02403002	PRJNA47685	Yersinia pestis 42013	42013	Beijing Genomics Institute	1971	"Xinjiang, China"	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42013	2013-11-15	2014-03-07
171	611308	GCF_000323385.1	Yersinia pestis 42082 (enterobacteria)	42082	Contig	Beijing Genomics Institute	755876	SAMN02403003	32	0	0	0	2049	304	4296	2049	304	4296	4496670	4496670	PRJNA47685	ADPH01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	42		2403003	SAMN00115152	SAMN02403003	PRJNA47685	Yersinia pestis 42082	42082	Beijing Genomics Institute	1995	"Xinjiang, China"	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42082	2013-11-15	2014-03-07
170	611328	GCF_000323405.1	Yersinia pestis 42091 (enterobacteria)	42091	Contig	Beijing Genomics Institute	755877	SAMN02403004	139	0	0	0	937	142	9994	937	142	9994	4495831	4495831	PRJNA47685	ADPI01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	43		2403004	SAMN00115153	SAMN02403004	PRJNA47685	Yersinia pestis 42091	42091	Beijing Genomics Institute	1999	"Xinjiang, China"	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42091	2013-11-15	2014-03-07
169	611348	GCF_000323425.1	Yersinia pestis 42095 (enterobacteria)	42095	Contig	Beijing Genomics Institute	755878	SAMN02403005	49	0	0	0	1119	165	8246	1119	165	8246	4512584	4512584	PRJNA47685	ADPJ01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	44		2403005	SAMN00115154	SAMN02403005	PRJNA47685	Yersinia pestis 42095	42095	Beijing Genomics Institute	2001	"Xinjiang, China"	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42095	2013-11-15	2014-03-07
164	611448	GCF_000323525.1	Yersinia pestis 71021 (enterobacteria)	71021	Contig	Beijing Genomics Institute	755884	SAMN02403010	49	0	0	0	1489	229	6168	1489	229	6168	4493411	4493411	PRJNA47685	ADPO01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	50		2403010	SAMN00115160	SAMN02403010	PRJNA47685	Yersinia pestis 71021	71021	Beijing Genomics Institute	1989	"Gansu, China"	38.46	94.25		Oropsylla silantiewi	Antiqua	Generic sample from Yersinia pestis 71021	2013-11-15	2014-03-07
341	29468	GCF_000007885.1	Yersinia pestis biovar Microtus str. 91001 (enterobacteria)	91001	Complete Genome	"Academy of Military Medical Sciences, The Institute of Microbiology and Epidemiology, China"	229193	SAMN02602970	0	5	1	4	5	1	4595065	0	1	4595065	4803217	4803217	PRJNA10638		2004-03-15 0:00	2004-03-15 0:00	2004-03-15 0:00	306		2602970	SAMN02602970		PRJNA10638	Yersinia pestis biovar Microtus str. 91001	91001	NCBI	1970	"Inner Mongolia, China"	44.03	114.97		Microtus brandti	Microtus	Sample from Yersinia pestis biovar Microtus str. 91001	2014-01-30	2015-05-18
173	611268	GCF_000323345.1	Yersinia pestis 351001 (enterobacteria)	351001	Contig	Beijing Genomics Institute	755871	SAMN02403001	45	0	0	0	1332	183	7499	1332	183	7499	4433848	4433848	PRJNA47685	ADPF01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	37		2403001	SAMN00115147	SAMN02403001	PRJNA47685	Yersinia pestis 351001	351001	Beijing Genomics Institute	1996	"Tibet, China"	29.39	90.7		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 351001	2013-11-15	2014-03-07
166	611408	GCF_000323485.1	Yersinia pestis 620024 (enterobacteria)	620024	Contig	Beijing Genomics Institute	755881	SAMN02403008	90	0	0	0	1131	176	7892	1131	176	7892	4503786	4503786	PRJNA47685	ADPM01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	47		2403008	SAMN00115157	SAMN02403008	PRJNA47685	Yersinia pestis 620024	620024	Beijing Genomics Institute	1962	"Qinghai, China"	35.6	99.99		Human	Antiqua	Generic sample from Yersinia pestis 620024	2013-11-15	2014-03-07
163	611468	GCF_000323545.1	Yersinia pestis 710317 (enterobacteria)	710317	Contig	Beijing Genomics Institute	755885	SAMN02403011	44	0	0	0	1119	172	8219	1119	172	8219	4449879	4449879	PRJNA47685	ADPP01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	51		2403011	SAMN00115161	SAMN02403011	PRJNA47685	Yersinia pestis 710317	710317	Beijing Genomics Institute	1971	"Qinghai, China"	36.72	101.28		Human	Antiqua	Generic sample from Yersinia pestis 710317	2013-11-15	2014-03-07
160	611528	GCF_000323605.1	Yersinia pestis 780441 (enterobacteria)	780441	Contig	Beijing Genomics Institute	755888	SAMN02403014	60	0	0	0	817	118	11743	817	118	11743	4525764	4525764	PRJNA47685	ADPS01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	55		2403014	SAMN00115165	SAMN02403014	PRJNA47685	Yersinia pestis 780441	780441	Beijing Genomics Institute	1978	"Qinghai, China"	34.92	98.26		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 780441	2013-11-15	2014-03-07
156	611608	GCF_000323685.1	Yersinia pestis 970754 (enterobacteria)	970754	Contig	Beijing Genomics Institute	755895	SAMN02403018	68	0	0	0	1104	150	8998	1104	150	8998	4348631	4348631	PRJNA47685	ADPW01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	62		2403018	SAMN00115172	SAMN02403018	PRJNA47685	Yersinia pestis 970754	970754	Beijing Genomics Institute	1997	"Qinghai, China"	32.23	96.47		Ovis aries	Antiqua	Generic sample from Yersinia pestis 970754	2013-11-15	2014-03-07
44	722251	GCA_001613865.1	Yersinia pestis (enterobacteria)	1116-D	Contig	"Russian Research Anti-Plague institute ""Microbe"""	632	SAMN04364301	48	0	0	0	388	51	30885	388	51	30885	4470393	4470393	PRJNA306803	LPXS01	2016-04-07 0:00	2016-04-07 0:00	2016-04-07 0:00	427		4364301	SAMN04364301		PRJNA306803	Yersinia pestis	1116-D	"Russian Research Anti-Plague institute ""Microbe"""	1971	"Russia: Republic Ingushetia, Malgobek district"			43.405649 N 44.68555500000002 E	Spermophilus pygmaeus		Pathogen: environmental/food/other sample from Yersinia pestis	2015-12-23	2015-12-23
34	738671	GCF_000987005.3	Yersinia pestis (enterobacteria)	125 B plague Bombay	Contig	cBio Corp	632	SAMN03418619	202.96	1	0	1	113	19	79919	112	19	79919	4499457	4499457	PRJNA257008	LBFK01	2016-04-19 0:00	2016-04-19 0:00	2016-04-19 0:00	360		3418619	SAMN03418619		PRJNA257008	Yersinia pestis	125 B plague Bombay	MRIGlobal	<1920	India: Mumbai			Missing	Missing		Yersinia pestis Str. NR-20	2015-03-16	2016-03-07
23	1009211	GCA_002005285.1	Yersinia pestis (enterobacteria)	195/P	Complete Genome	NHGRI/NIH	632	SAMN06161235	40	4	1	3	4	1	4655691	0	1	4655691	4831198	4831198	PRJNA357858		2017-02-21 0:00	2017-02-21 0:00	2017-02-21 0:00	535		6161235	SAMN06161235		PRJNA357858	Yersinia pestis	195/P	NHGRI/NIH	<1950	"Bombay, India"				Human		Microbe sample from Yersinia pestis	2016-12-16	2016-12-16
323	200791	GCA_000734805.1	Yersinia pestis subsp. pestis (enterobacteria)	231(708)	Contig	"Russian Research Antiplague Institute ""Microbe"""	385964	SAMN02777961	58	0	0	0	298	52	28733	298	52	28733	4568801	4568801	PRJNA247716	JMUF01	2014-07-28 0:00	2014-07-28 0:00	2014-07-28 0:00	330		2777961	SAMN02777961		PRJNA247716	Yersinia pestis subsp. pestis	231(708)	"Russian Research Antiplague Institute ""Microbe"""	1947	Kyrgyzstan						Microbe sample from Yersinia pestis subsp. pestis	2014-05-15	2014-11-06
327	88301	GCA_000475155.2	Yersinia pestis 24H (enterobacteria)	24H	Scaffold	"National Centre for Cell Science, Pune - 411007, India"	1330537	SAMN02470618	0	1	0	1	141	32	51080	140	32	51080	4500596	4500596	PRJNA201414	AXDI01	2013-12-19 0:00	2013-12-19 0:00	2013-12-19 0:00	301		2470618	SAMN02470618		PRJNA201414	Yersinia pestis 24H	24H	NCBI	1998	India: Hosur				Tatera indica		Sample from Yersinia pestis 24H	2013-12-19	2015-05-18
286	369568	GCF_000222975.1	Yersinia pestis A1122 (enterobacteria)	A1122	Complete Genome	Los Alamos National Lab	1035377	SAMN02603531	0	3	1	2	3	1	4553770	0	1	4553770	4658411	4658411	PRJNA67155		2011-08-05 0:00	2011-08-05 0:00	2011-08-05 0:00	308		2603531	SAMN02603531		PRJNA67155	Yersinia pestis A1122	A1122	NCBI	1939	"California, USA"				Squirrel		Sample from Yersinia pestis A1122	2014-01-30	2015-05-18
302	251471	GCF_000834755.1	Yersinia pestis A1122 (enterobacteria)	A1122	Complete Genome	Los Alamos National Laboratory	1035377	SAMN03074123	0	3	1	2	3	1	4569625	0	1	4569625	4674565	4674565	PRJNA240102		2015-02-09 0:00	2015-02-09 0:00	2015-02-09 0:00	336		3074123	SAMN03074123		PRJNA240102	Yersinia pestis A1122	A1122	Los Alamos National Laboratory	1939	"California, USA"				Squirrel	Orientalis	Microbe sample Yersinia pestis A1122	2014-09-18	2015-08-20
