BioSampleAccession	BioSampleStrain	BioSampleBioProjectAccession
SAMN08381315	Yp-S13	PRJNA430987
SAMN08381314	Yp-G12	PRJNA430987
SAMN08381313	Yp-S11	PRJNA430987
SAMN08381312	Yp-H10	PRJNA430987
SAMN08381311	Yp-H4	PRJNA430987
SAMN08381310	Yp-S3	PRJNA430987
SAMN08381309	Yp-G2	PRJNA430987
SAMN02442692	A120	PRJNA231474
SAMN02442693	A120	PRJNA231474
SAMN02442694	A76	PRJNA231474
SAMN02442695	A76	PRJNA231474
SAMN02442696	A120	PRJNA231474
SAMN02442697	A120	PRJNA231474
SAMN02442698	A120	PRJNA231474
SAMN02442699	A120	PRJNA231474
SAMN02442700	A120	PRJNA231474
SAMN02442701	A120	PRJNA231474
SAMN02442702	A120	PRJNA231474
SAMN02442703	A120	PRJNA231474
SAMN02442704	A120	PRJNA231474
SAMN02442705	A120	PRJNA231474
SAMN02442706	A120	PRJNA231474
SAMN02442707	A120	PRJNA231474
SAMN02442708	A120	PRJNA231474
SAMN02442709	A120	PRJNA231474
SAMN02442710	A120	PRJNA231474
SAMN02442711	A120	PRJNA231474
SAMN02442712	A120	PRJNA231474
SAMN02442713	A120	PRJNA231474
SAMN02442714	A76	PRJNA231474
SAMN02442715	A120	PRJNA231474
SAMN02442716	A120	PRJNA231474
SAMN02442717	A120	PRJNA231474
SAMN02442718	A120	PRJNA231474
SAMN02442719	A120	PRJNA231474
SAMN02442720	A120	PRJNA231474
SAMN02442721	A120	PRJNA231474
SAMN02442722	A120	PRJNA231474
SAMN02442723	A76	PRJNA231474
SAMN02442724	A120	PRJNA231474
SAMN02442725	A120	PRJNA231474
SAMN02442726	A120	PRJNA231474
SAMN02442727	A120	PRJNA231474
SAMN02442728	A76	PRJNA231474
SAMEA5851981	MGYG-HGUT-02476	PRJEB33885
SAMEA5818833	TRP002	PRJEB29990
SAMEA5818832	STN032	PRJEB29990
SAMEA5818831	STN031	PRJEB29990
SAMEA5818830	STN021	PRJEB29990
SAMEA5818829	STN020	PRJEB29990
SAMEA5818828	STN019	PRJEB29990
SAMEA5818827	STN018	PRJEB29990
SAMEA5818826	STN014	PRJEB29990
SAMEA5818825	STN013	PRJEB29990
SAMEA5818824	STN012	PRJEB29990
SAMEA5818823	STN011	PRJEB29990
SAMEA5818822	STN008	PRJEB29990
SAMEA5818821	STN007	PRJEB29990
SAMEA5818820	STN005	PRJEB29990
SAMEA5818819	STN004	PRJEB29990
SAMEA5818818	STN002	PRJEB29990
SAMEA5818817	STA001	PRJEB29990
SAMEA5818816	NMS003	PRJEB29990
SAMEA5818815	NMS002	PRJEB29990
SAMEA5818814	NAB005	PRJEB29990
SAMEA5818813	NAB005	PRJEB29990
SAMEA5818812	NAB004	PRJEB29990
SAMEA5818811	NAB003	PRJEB29990
SAMEA5818810	MAN015	PRJEB29990
SAMEA5818809	MAN008	PRJEB29990
SAMEA5818808	LBG002	PRJEB29990
SAMEA5818807	LAI010	PRJEB29990
SAMEA5818806	LAI009	PRJEB29990
SAMEA5818805	ELW098	PRJEB29990
SAMEA5818804	BRA003	PRJEB29990
SAMEA5818803	BRA001	PRJEB29990
SAMEA5818802	BED038	PRJEB29990
SAMEA5818801	BED034	PRJEB29990
SAMEA5818800	BED030	PRJEB29990
SAMEA5818799	BED028	PRJEB29990
SAMEA5818798	BED024	PRJEB29990
SAMN05712299	CO92-Parent	PRJNA340278
SAMN04032844	CO92	PRJNA294782
SAMN02923783	CO92	PRJNA243531
