id	Assembly_id	AssemblyAccession	BioSampleAccession	BioSampleID	GenbankBioprojectAccession	GenbankID	RefseqBioprojectAccession	RefSeqCategory	RefSeqID	WGSAccession	Infraspecies	Isolate	Organism	SpeciesTaxonomicID	SpeciesName	TaxonomicID	AssemblyName	AssemblyStatus	AssemblyType	AssemblyCoverage	Chromosomes	ContigCount	ContigN50	ContigL50	NonChromosomalReplicons	Replicons	Scaffolds	ScaffoldN50	ScaffoldL50	TotalLength	UngappedLength	SubmitterOrganization	SubmissionDate	ReleaseDate	FTPAssemblyReport	FTPGenbank	FTPRefSeq	FTPStatsReport
11	1702431	GCA_003085935.1	SAMN05162581	5162581	PRJNA322434	6441748	None	na	None	LYOJ01	835	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308593v1	Contig	haploid	48	0	222	40653	40	0	0	0	40653	40	4556565	4556565	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/935/GCA_003085935.1_ASM308593v1/GCA_003085935.1_ASM308593v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/935/GCA_003085935.1_ASM308593v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/935/GCA_003085935.1_ASM308593v1/GCA_003085935.1_ASM308593v1_assembly_stats.txt
12	1702421	GCA_003085895.1	SAMN05150068	5150068	PRJNA322257	6441718	None	na	None	LYMR01	I-2998	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308589v1	Contig	haploid	48	0	356	31912	47	0	0	0	31912	47	4585836	4585836	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/895/GCA_003085895.1_ASM308589v1/GCA_003085895.1_ASM308589v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/895/GCA_003085895.1_ASM308589v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/895/GCA_003085895.1_ASM308589v1/GCA_003085895.1_ASM308589v1_assembly_stats.txt
13	1702411	GCA_003085915.1	SAMN05017795	5017795	PRJNA322145	6441708	None	na	None	LYMH01	517	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308591v1	Contig	haploid	48	0	225	42648	35	0	0	0	42648	35	4656448	4656448	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/915/GCA_003085915.1_ASM308591v1/GCA_003085915.1_ASM308591v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/915/GCA_003085915.1_ASM308591v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/915/GCA_003085915.1_ASM308591v1/GCA_003085915.1_ASM308591v1_assembly_stats.txt
14	1702401	GCA_003085875.1	SAMN05149970	5149970	PRJNA322240	6441678	None	na	None	LYMO01	M-986	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308587v1	Contig	haploid	48	0	260	36209	42	0	0	0	36209	42	4540567	4540567	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/875/GCA_003085875.1_ASM308587v1/GCA_003085875.1_ASM308587v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/875/GCA_003085875.1_ASM308587v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/875/GCA_003085875.1_ASM308587v1/GCA_003085875.1_ASM308587v1_assembly_stats.txt
15	1702391	GCA_003085855.1	SAMN05017702	5017702	PRJNA322137	6441668	None	na	None	LYMG01	M-1773	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308585v1	Contig	haploid	48	0	284	35457	44	0	0	0	35457	44	4566266	4566266	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/855/GCA_003085855.1_ASM308585v1/GCA_003085855.1_ASM308585v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/855/GCA_003085855.1_ASM308585v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/855/GCA_003085855.1_ASM308585v1/GCA_003085855.1_ASM308585v1_assembly_stats.txt
16	1698971	GCA_003122795.1	SAMN08866751	8866751	PRJNA448827	6490728	None	na	None	QANK01	I-2422	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	Y.pestis_I-2422	Contig	haploid	48	0	2868	21689	72	0	0	2868	21689	72	5558037	5558037	Russian Research Anti-Plague Institute Microbe	2018/05/14 00:00	2018/05/14 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/795/GCA_003122795.1_Y.pestis_I-2422/GCA_003122795.1_Y.pestis_I-2422_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/795/GCA_003122795.1_Y.pestis_I-2422	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/795/GCA_003122795.1_Y.pestis_I-2422/GCA_003122795.1_Y.pestis_I-2422_assembly_stats.txt
17	1689781	GCA_003074675.1	SAMN08892357	8892357	PRJNA449269	6429508	None	na	None	QAPA01	139	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307467v1	Contig	haploid	48	0	4816	1156	944	0	0	0	1156	944	3963071	3963071	Russian Research Anti-Plague Institute Microbe	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/675/GCA_003074675.1_ASM307467v1/GCA_003074675.1_ASM307467v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/675/GCA_003074675.1_ASM307467v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/675/GCA_003074675.1_ASM307467v1/GCA_003074675.1_ASM307467v1_assembly_stats.txt
18	1689751	GCA_003074595.1	SAMN08866640	8866640	PRJNA448814	6429458	None	na	None	QAGE01	262	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307459v1	Contig	haploid	48	0	249	41459	37	0	0	0	41459	37	4532410	4532410	Russian Research Anti-Plague Institute Microbe	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/595/GCA_003074595.1_ASM307459v1/GCA_003074595.1_ASM307459v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/595/GCA_003074595.1_ASM307459v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/595/GCA_003074595.1_ASM307459v1/GCA_003074595.1_ASM307459v1_assembly_stats.txt
19	1689721	GCA_003074535.1	SAMN08866745	8866745	PRJNA448820	6429388	None	na	None	QAGF01	5M	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307453v1	Contig	haploid	48	0	240	41994	36	0	0	0	41994	36	4531579	4531579	Russian Research Anti-Plague Institute Microbe	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/535/GCA_003074535.1_ASM307453v1/GCA_003074535.1_ASM307453v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/535/GCA_003074535.1_ASM307453v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/535/GCA_003074535.1_ASM307453v1/GCA_003074535.1_ASM307453v1_assembly_stats.txt
20	1689651	GCA_003074435.1	SAMN05240958	5240958	PRJNA325569	6429258	None	na	None	LZTG01	KM874	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307443v1	Contig	haploid	48	0	228	41943	37	0	0	0	41943	37	4552969	4552969	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/435/GCA_003074435.1_ASM307443v1/GCA_003074435.1_ASM307443v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/435/GCA_003074435.1_ASM307443v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/435/GCA_003074435.1_ASM307443v1/GCA_003074435.1_ASM307443v1_assembly_stats.txt
21	1689641	GCA_003074415.1	SAMN05225437	5225437	PRJNA325223	6429228	None	na	None	MBSJ01	3551	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307441v1	Contig	haploid	48	0	225	46616	35	0	0	0	46616	35	4563176	4563176	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/415/GCA_003074415.1_ASM307441v1/GCA_003074415.1_ASM307441v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/415/GCA_003074415.1_ASM307441v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/415/GCA_003074415.1_ASM307441v1/GCA_003074415.1_ASM307441v1_assembly_stats.txt
22	1689631	GCA_003074395.1	SAMN05225434	5225434	PRJNA325221	6429208	None	na	None	LZNH01	3544	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307439v1	Contig	haploid	48	0	248	39726	41	0	0	0	39726	41	4559091	4559091	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/395/GCA_003074395.1_ASM307439v1/GCA_003074395.1_ASM307439v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/395/GCA_003074395.1_ASM307439v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/395/GCA_003074395.1_ASM307439v1/GCA_003074395.1_ASM307439v1_assembly_stats.txt
23	1689621	GCA_003074375.1	SAMN05225432	5225432	PRJNA325219	6429188	None	na	None	LZNG01	261	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307437v1	Contig	haploid	48	0	249	39914	40	0	0	0	39914	40	4579841	4579841	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/375/GCA_003074375.1_ASM307437v1/GCA_003074375.1_ASM307437v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/375/GCA_003074375.1_ASM307437v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/375/GCA_003074375.1_ASM307437v1/GCA_003074375.1_ASM307437v1_assembly_stats.txt
24	1689611	GCA_003074355.1	SAMN05225431	5225431	PRJNA325218	6429178	None	na	None	LZNI01	1240	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307435v1	Contig	haploid	48	0	321	31134	49	0	0	0	31134	49	4582524	4582524	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/355/GCA_003074355.1_ASM307435v1/GCA_003074355.1_ASM307435v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/355/GCA_003074355.1_ASM307435v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/355/GCA_003074355.1_ASM307435v1/GCA_003074355.1_ASM307435v1_assembly_stats.txt
25	1689601	GCA_003074335.1	SAMN05225380	5225380	PRJNA325208	6429148	None	na	None	LZNF01	44	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307433v1	Contig	haploid	48	0	237	44903	37	0	0	0	44903	37	4576107	4576107	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/335/GCA_003074335.1_ASM307433v1/GCA_003074335.1_ASM307433v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/335/GCA_003074335.1_ASM307433v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/335/GCA_003074335.1_ASM307433v1/GCA_003074335.1_ASM307433v1_assembly_stats.txt
26	1689591	GCA_003074315.1	SAMN05225379	5225379	PRJNA325206	6429128	None	na	None	LZNE01	I-3223	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307431v1	Contig	haploid	48	0	563	24414	61	0	0	0	24414	61	4681103	4681103	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/315/GCA_003074315.1_ASM307431v1/GCA_003074315.1_ASM307431v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/315/GCA_003074315.1_ASM307431v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/315/GCA_003074315.1_ASM307431v1/GCA_003074315.1_ASM307431v1_assembly_stats.txt
27	1689581	GCA_003074295.1	SAMN05225376	5225376	PRJNA325202	6429108	None	na	None	LZND01	244	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307429v1	Contig	haploid	48	0	445	26612	54	0	0	0	26612	54	4595054	4595054	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/295/GCA_003074295.1_ASM307429v1/GCA_003074295.1_ASM307429v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/295/GCA_003074295.1_ASM307429v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/295/GCA_003074295.1_ASM307429v1/GCA_003074295.1_ASM307429v1_assembly_stats.txt
28	1689571	GCA_003074255.1	SAMN05225371	5225371	PRJNA325198	6429098	None	na	None	LZNC01	1454	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307425v1	Contig	haploid	48	0	306	36087	44	0	0	0	36087	44	4637608	4637608	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/255/GCA_003074255.1_ASM307425v1/GCA_003074255.1_ASM307425v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/255/GCA_003074255.1_ASM307425v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/255/GCA_003074255.1_ASM307425v1/GCA_003074255.1_ASM307425v1_assembly_stats.txt
29	1689561	GCA_003074275.1	SAMN05225373	5225373	PRJNA325200	6429088	None	na	None	MBSI01	C-627	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307427v1	Contig	haploid	48	0	676	16603	89	0	0	0	16603	89	4476360	4476360	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/275/GCA_003074275.1_ASM307427v1/GCA_003074275.1_ASM307427v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/275/GCA_003074275.1_ASM307427v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/275/GCA_003074275.1_ASM307427v1/GCA_003074275.1_ASM307427v1_assembly_stats.txt
30	1689551	GCA_003074235.1	SAMN05225370	5225370	PRJNA325196	6429048	None	na	None	LZNB01	I-3244	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307423v1	Contig	haploid	48	0	356	31373	49	0	0	0	31373	49	4534110	4534110	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/235/GCA_003074235.1_ASM307423v1/GCA_003074235.1_ASM307423v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/235/GCA_003074235.1_ASM307423v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/235/GCA_003074235.1_ASM307423v1/GCA_003074235.1_ASM307423v1_assembly_stats.txt
31	1689541	GCA_003074215.1	SAMN05219223	5219223	PRJNA325083	6429028	None	na	None	LZOA01	349	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307421v1	Contig	haploid	48	0	253	42664	39	0	0	0	42664	39	4655319	4655319	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/215/GCA_003074215.1_ASM307421v1/GCA_003074215.1_ASM307421v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/215/GCA_003074215.1_ASM307421v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/215/GCA_003074215.1_ASM307421v1/GCA_003074215.1_ASM307421v1_assembly_stats.txt
32	1689531	GCA_003074155.1	SAMN05219204	5219204	PRJNA325076	6429018	None	na	None	LZNX01	338	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307415v1	Contig	haploid	48	0	299	37037	44	0	0	0	37037	44	4652440	4652440	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/155/GCA_003074155.1_ASM307415v1/GCA_003074155.1_ASM307415v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/155/GCA_003074155.1_ASM307415v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/155/GCA_003074155.1_ASM307415v1/GCA_003074155.1_ASM307415v1_assembly_stats.txt
33	1689521	GCA_003074195.1	SAMN05219221	5219221	PRJNA325081	6429008	None	na	None	LZNZ01	337	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM307419v1	Contig	haploid	48	0	309	36023	42	0	0	0	36023	42	4648693	4648693	Russian Research Anti-Plague institute "Microbe"	2018/04/30 00:00	2018/04/30 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/195/GCA_003074195.1_ASM307419v1/GCA_003074195.1_ASM307419v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/195/GCA_003074195.1_ASM307419v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/195/GCA_003074195.1_ASM307419v1/GCA_003074195.1_ASM307419v1_assembly_stats.txt
